anunciante,area_privativa,area_total,atualizacao,bairro,banheiros,cidade,cod_imovel,creci,data_publicacao,dce,endereco,garagem,idade_imovel,quartos,suites,url,valor_condominio,valor_imovel,valor_iptu,valor_mt2
Confira outras opções em meu site Gabi Silva Imóveis,48m²,,,Cidade Jardins,1,Valparaíso de Goiás,1051514687,,2022-06-29,,Quadra QC 01 Conjunto B Bloco 3,1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/agio-na-cidade-jardins-valparaiso-aceito-carro-1051514687,R$ 0,R$ 33.000,R$ 0,
Corretor de imóveis,70m²,,,Parque da Barragem Setor 08,1,Águas Lindas de Goiás,1022414881,,2022-06-29,,Quadra 41 Conjunto A,1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/vendo-apartamento-em-aguas-lindas-2-quartos-1022414881,R$ 0,R$ 130.000,R$ 0,
LEVI IMÓVEIS,45m²,,,Parque Esplanada II,1,Valparaíso de Goiás,1051085405,,2022-06-28,,"Rua 8 (Quadras 33,34,37,38)",,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/vendo-apartamento-1051085405,R$ 0,R$ 95.000,R$ 0,
lucasdanniel16,,,,Centro,1,"Jardim Abc De Goiás, Cidade Ocidental",1051086008,,2022-06-28,,,1,,1,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/ao-em-caldas-novas-agio-1051086008,R$ 1.000,R$ 80.000,R$ 0,
CASA BELLA IMÓVEIS,56m²,,,Cidade Jardins,1,Valparaíso de Goiás,1044564466,,2022-06-28,,Quadra QC 01 Conjunto A Bloco 2,1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/vendo-agio-de-um-lindo-apartamento-a-poucos-metros-da-br-040-1044564466,R$ 0,R$ 34.999,R$ 0,
LEVI IMÓVEIS,45m²,,,Parque Esplanada III,1,Valparaíso de Goiás,1051099090,,2022-06-28,,Quadra 13,,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/vendo-apartamento-1051099090,R$ 0,R$ 140.000,R$ 0,
GuiguiVeiculos,50m²,,,Pacaembu,1,Valparaíso de Goiás,1051108280,,2022-06-28,,Rua Sem Nome (Quadras 99 e 100),1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/credito-para-imovel-1051108280,,R$ 150.000,,
Fran,60m²,,,Residencial Jardim Paraíso,1,Águas Lindas de Goiás,1051111003,,2022-06-28,,Quadra 11,2,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/agio-15mil-apartamento-aguas-lindas-go-fone-1051111003,R$ 0,R$ 15.000,R$ 180,
Mara Rodrigues Corretora de Imoveis Eireli - ME,112m²,,,Centro,1,Formosa,1051113591,,2022-06-28,,Rua Padre Tomé,2,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/apartamento-de-alto-padrao-a-venda-no-centro-de-formosa-go-1051113591,R$ 0,R$ 520.000,R$ 0,
Jpeg Imóveis,50m²,,,Cidade Jardins,1,Valparaíso de Goiás,988003338,,2022-06-28,,Quadra QC 09 Bloco 7,2,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/apartamento-2-qtos-com-area-de-lazer-completo-a-300-metros-da-br-988003338,R$ 0,R$ 140.000,R$ 0,
SAROM IMÓVEIS,44m²,,,Parque das Cachoeiras,1,Valparaíso de Goiás,1051128328,,2022-06-28,,Conjunto Residencial 7 Condomínio 1,1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/apartamento-dois-quartos-condominio-parque-clube-ii-valparaiso-de-goias-1051128328,R$ 248,R$ 108.000,,
simas.carlosfirmo,,,,Parque Esplanada II,1,Valparaíso de Goiás,1051133289,,2022-06-28,,"Rua 22 (Quadras 33,34,37,38)",1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/vendo-apto-terreo-1051133289,R$ 190,R$ 105.000,,
G-TAVARES IMÓVEIS,44m²,,,Parque das Cachoeiras,1,Valparaíso de Goiás,1020452950,,2022-06-28,,Conjunto Residencial 5 Condomínio 2,1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/vendo-apartamento-quitado-2-quartos-proximo-ao-shopping-sul-1020452950,R$ 0,R$ 152.000,R$ 0,
Peterson Monteiro Silva,53m²,,,Núcleo Habitacional Novo Gama,1,Novo Gama,1051137803,,2022-06-28,,Condomínio Parque Lousã (Conjunto 06 HC Seção SAM 400),1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/novo-gama-go-aceita-veiculo-na-negociacao-residencial-lousa-life-proximo-do-df-1051137803,R$ 305,R$ 120.000,R$ 250,
CASA BELLA IMÓVEIS,45m²,,,Ypiranga,1,Valparaíso de Goiás,1038409506,,2022-06-28,,Rua Marajuara,1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/vendo-apto-terreo-com-quintal-da-gois-construtora-no-setor-ypiranga-1038409506,R$ 0,R$ 30.000,R$ 0,
LEVI IMÓVEIS,45m²,,,Parque Esplanada III,1,Valparaíso de Goiás,1051157928,,2022-06-28,,Quadra 16,,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/vendo-lindo-apartamento-no-cond-paris-1051157928,R$ 0,R$ 95.000,R$ 0,
LEILOES BRASIL,64m²,,,Morada Nobre,1,Valparaíso de Goiás,1051168787,,2022-06-28,,"Rua 7 (Quadras 01,02,03,08,09,10)",1,,1,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/apartamento-para-venda-com-64-metros-quadrados-1051168787,R$ 0,R$ 75.900,R$ 0,
Andrew Cristhyan,65m²,,,Ocidental Parque,1,Cidade Ocidental,1051172953,,2022-06-28,,Quadra 1,1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/agio-de-apartamento-terreo-novo-1051172953,,R$ 15.000,,
LEVI IMÓVEIS,50m²,,,Cidade Jardins,1,Valparaíso de Goiás,1051179963,,2022-06-28,,Quadra QC 02 Conjunto C Bloco 1,,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/vendo-apartamento-na-cidade-jardins-1051179963,R$ 0,R$ 75.000,R$ 0,
Corretor de imóveis,60m²,,,Parque da Barragem Setor 01,1,Águas Lindas de Goiás,1022417404,,2022-06-27,,Quadra 51 Conjunto A,1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/vendo-02-quartos-no-setor-01-1022417404,R$ 0,R$ 109.000,R$ 0,
Divina F. Guedes,50m²,,,Mansões Recreio Mossoró,1,Cidade Ocidental,1041982930,,2022-06-27,,Quadra 9,1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/vendo-agio-de-apart-de-2-quartos-no-residencial-villa-galle-go-1041982930,R$ 80,R$ 23.000,R$ 200,
CASA BELLA IMÓVEIS,50m²,,,Ypiranga,1,Valparaíso de Goiás,1035515532,,2022-06-27,,Rua Ypiranga,1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/vendo-agio-de-um-lindo-apartamento-terreo-desocupado-com-box-no-banheiro-com-quintal-1035515532,R$ 0,R$ 29.999,R$ 0,
Nery do Brazil Nery do Brazil,49m²,,,Ypiranga,2,Valparaíso de Goiás,1020518842,,2022-06-27,,Quadra 4 Chácara 67,1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/vendo-agio-semi-mobiliado-no-valparaiso-de-goias-1020518842,R$ 0,R$ 50.000,R$ 0,
Welington Santiago,,,,Chácaras Benvinda,1,Valparaíso de Goiás,1050660269,,2022-06-27,,Quadra 2,1,,3,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/vendo-agio-r-25-000-1050660269,,R$ 22.000,,
ERAF IMOVEIS,,,,Centro,2,Formosa,1050671956,,2022-06-27,,Avenida Valeriano de Castro,1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/apartamento-a-venda-setor-centro-1050671956,,R$ 230.000,,
Baroli Imóveis,74m²,,,Parque Esplanada II,1,Valparaíso de Goiás,1015211911,,2022-06-27,,"Rua 8 (Quadras 33,34,37,38)",1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/apartamento-com-2-dormitorios-74-m-venda-por-r-150-000-00-ou-aluguel-por-r-850-00-me-1015211911,R$ 225,R$ 150.000,R$ 30,
Confira outras opções em meu site Gabi Silva Imóveis,48m²,,,Cidade Jardins,1,Valparaíso de Goiás,1050716548,,2022-06-27,,Quadra QC 01 Conjunto A Bloco 4,1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/agio-na-cidade-jardins-valparaiso-aceito-carro-1050716548,R$ 0,R$ 33.000,R$ 0,
Ricardo AraÃºjo Teixeira de Freitas,68m²,,,Santa Luzia,2,Luziânia,1022178235,,2022-06-27,,Rua Santa Catarina,1,,3,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/vendo-apto-03-quartos-sendo-01-suite-village-beira-rio-lza-1022178235,R$ 177,R$ 140.000,R$ 0,
bielcaja,,,,Parque Araguari,2,Cidade Ocidental,1050724341,,2022-06-27,,Quadra 9,1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/vendo-agio-de-apartamento-no-parque-araguari-2-cidade-ocidental-1050724341,,R$ 33.000,,
Vando Gaspar,60m²,,,Parque Esplanada III,2,Valparaíso de Goiás,1022288917,,2022-06-27,,Quadra 15,1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/apto-todo-reformado-com-suite-proximo-ao-shopping-sul-com-otima-localizacao-1022288917,R$ 0,R$ 123.000,R$ 0,
Confira outras opções em meu site Gabi Silva Imóveis,48m²,,,Cidade Jardins,1,Valparaíso de Goiás,1050738230,,2022-06-27,,Quadra QC 01 Conjunto A Bloco 3,1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/agio-na-cidade-jardins-valparaiso-aceito-carro-1050738230,R$ 0,R$ 33.000,R$ 0,
V. D. P. IMOVEIS,68m²,,,Jardim da Barragem II,1,Águas Lindas de Goiás,973329577,,2022-06-27,,Quadra 54,0,,1,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/apartamento-com-1-dormitorio-a-venda-67-m-por-r-91-438-20-jardim-da-barragem-ii-agu-973329577,R$ 0,R$ 91.438,R$ 0,
CASA BELLA IMÓVEIS,53m²,,,Setor de Chácaras Anhangüera B,1,Valparaíso de Goiás,1015481614,,2022-06-27,,Quadra 25,1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/apto-no-saint-moritz-maior-02-quartos-financiado-em-ate-100-1015481614,R$ 0,R$ 138.000,R$ 0,
CASA BELLA IMÓVEIS,65m²,,,Parque Esplanada V,1,Valparaíso de Goiás,1037696842,,2022-06-27,,"Rua 11 (Quadras 10,11,19,20)",1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/apartamento-ao-lado-da-br-e-perto-de-ubs-em-valparaiso-pronto-para-morar-1037696842,R$ 0,R$ 128.000,R$ 0,
Gutemberg,57m²,,,Parque das Cachoeiras,2,Valparaíso de Goiás,1050759039,,2022-06-27,,Conjunto Residencial 3 Parque dos Sonhos Bloco D,1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/apartamento-de-2-quartos-com-suite-1050759039,,R$ 175.000,,
Face Consultoria e Assessoria Imobiliaria LTDA,50m²,,,Jardim Céu Azul,1,Valparaíso de Goiás,1023638990,,2022-06-26,,"Rua 101 (Q 113,114,134 a 144,153,154,155,163",1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/apartamento-para-venda-com-lazer-de-completo-e-zero-de-entrada-1023638990,R$ 0,R$ 108.000,R$ 0,
Fatima Dantas Imóveis,50m²,,,Chácaras Anhangüera,1,Valparaíso de Goiás,1050167408,,2022-06-26,,"Rua Rio de Janeiro (Quadras 13,14,16,17,19,20)",1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/oportunidade-vendo-agio-prestacao-atras-hospital-cais-ac-carro-1050167408,R$ 0,R$ 35.000,R$ 0,
NEGÓCIOS-DF,0m²,,,Valparaiso I - Etapa B,2,Valparaíso de Goiás,999036801,,2022-06-26,,Quadra 32,2,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/t-r-o-c-o--tudo-aqui-por-agio-de-casa-apt-terreo-ou-f-i-a-t-uno-999036801,,R$ 40.000,,
NEGÓCIOS-DF,0m²,,,Valparaiso I - Etapa B,3,Valparaíso de Goiás,999389551,,2022-06-26,,Quadra 32,3,,3,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/t-r-o-c-o--tudo-aqui-por-agio-de-casa-apt-terreo-ou-f-i-a-t-uno-999389551,,R$ 40.000,,
NEGÓCIOS-DF,0m²,,,Valparaiso I - Etapa A,2,Valparaíso De Goiás,921528046,,2022-06-26,,,0,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/t-r-o-c-o--tudo-aqui-por-agio-de-casa-ou-apt-terreo-no-valparaiso-921528046,,R$ 40.000,,
NEGÓCIOS-DF,0m²,,,Valparaiso I - Etapa A,2,Valparaíso De Goiás,948188848,,2022-06-26,,,2,,3,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/t-r-o-c-o--tudo-aqui-por-agio-de-casa-apt-terreo-ou-f-i-a-t-uno-948188848,,R$ 40.000,,
Fênix construtora,85m²,,,Jardim Brasília,1,Águas Lindas de Goiás,980795881,,2022-06-26,,Quadra 47,1,,3,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/apartamento-com-3-quartos-no-jardim-brasilia-promocao-dia-das-maes-980795881,,R$ 190.000,,
CONECTTA MAIS IMÓVEIS,53m²,,,Cidade Jardins,1,Valparaíso de Goiás,1050207051,,2022-06-26,,Quadra QC 01 Conjunto C Bloco 6,0,,3,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/apartamento-3qtos-ate-100-financiado-no-valparaiso-1050207051,,R$ 120.000,,
Maria P.,,,,Parque da Barragem Setor 01,1,Águas Lindas de Goiás,1050225139,,2022-06-26,,Quadra 54 Conjunto A,1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/agil-em-aguas-lindas-1050225139,,R$ 20.000,,
CASA BELLA IMÓVEIS,50m²,,,Ypiranga,1,Valparaíso de Goiás,1038448411,,2022-06-26,,Rua Ypiranga,1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/vendo-agio-de-um-excelente-apartamento-em-condominio-fechado-na-entrada-de-valparaiso-1038448411,R$ 0,R$ 29.999,R$ 0,
CASA BELLA IMÓVEIS,50m²,,,Ypiranga,1,Valparaíso de Goiás,1042429102,,2022-06-26,,Rua Ypiranga,1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/agio-de-um-belo-apto-atras-da-cidade-jardins-valparaiso-1042429102,R$ 0,R$ 29.999,R$ 0,
NEGÓCIOS-DF,0m²,,,Valparaiso I - Etapa A,2,Valparaíso De Goiás,892649473,,2022-06-26,,,0,,3,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/t-r-o-c-o-tudo-aqui-por-agio-de-casa-ou-apt-terreo-no-valparaiso-go-892649473,,R$ 16.000,,
NEGÓCIOS-DF,28000m²,,,Mansões Recreio Mossoró,3,Cidade Ocidental,998587465,,2022-06-26,,Quadra 5,3,,3,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/t-r-o-c-o--tudo-aqui-por-agio-de-casa-apt-terreo-ou-f-i-a-t-uno-998587465,,R$ 40.000,,
Salvadora Guedes,,,,Jardim Ipanema,1,Valparaíso de Goiás,1050270598,,2022-06-26,,"Rua 10 (Q 25,27,29,30,35,36,40,41,45A,46)",1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/vende-se-agio-1050270598,,R$ 40.000,,
João,43990m²,,,Chácaras Anhangüera,1,Valparaíso de Goiás,1050320042,,2022-06-26,,"Rua Minas Gerais (Quadras 03,06,09,25,28,30)",1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/vendo-agio-barato-1050320042,R$ 115,R$ 28.000,R$ 149,
JV I.,,,,,1,Águas Lindas De Goiás,1050330627,,2022-06-26,,,1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/apartamentos-em-aguas-lindas-2-quartos-1050330627,,R$ 1,,
LEVI IMÓVEIS,48m²,,,Valparaiso I - Etapa C,2,Valparaíso de Goiás,1049468486,,2022-06-24,,Quadra 23,1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/apartamento-para-venda-tem-48-metros-quadrados-com-2-quartos-1049468486,R$ 0,R$ 155.000,R$ 0,
Confira outras opções em meu site Gabi Silva Imóveis,220m²,,,Valparaiso I - Etapa D,4,Valparaíso de Goiás,1049475984,,2022-06-24,,Quadra 1,3,,4,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/casa-com-4-quartos-a-venda-220m-valparaiso-1049475984,R$ 0,R$ 370.000,R$ 0,
CASA BELLA IMÓVEIS,50m²,,,Ypiranga,2,Valparaíso de Goiás,1041939537,,2022-06-24,,Rua Ypiranga,2,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/agio-apartamento-terreo-com-area-privativa-otima-localizacao-1041939537,R$ 0,R$ 29.999,R$ 0,
CASA BELLA IMÓVEIS,56m²,,,Valparaiso I - Etapa E,1,Valparaíso de Goiás,1049476639,,2022-06-24,,Setor Comercial Bloco C,1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/vendo-agio-cidade-jardins-ap-c-lazer-completo-valparaiso-proximo-a-br-040-1049476639,R$ 0,R$ 34.999,R$ 0,
CASA BELLA IMÓVEIS,56m²,,,Setor de Chácaras Anhangüera B,1,Valparaíso de Goiás,1049477055,,2022-06-24,,Quadra 24,1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/vendo-apartamentos-em-um-dos-melhores-condominio-fechado-de-valparaiso-ate-100-f-1049477055,R$ 0,R$ 120.000,R$ 0,
Raquel,,,,Parque da Barragem Setor 06,1,Águas Lindas de Goiás,1049477378,,2022-06-24,,Quadra 4 Conjunto A,1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/vendo-apto-terreo-no-setor-6-1049477378,,R$ 25.000,,
CASA BELLA IMÓVEIS,56m²,,,Ypiranga,1,Valparaíso de Goiás,1049478409,,2022-06-24,,Rua Ypiranga,1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/agio-apartamento-excelente-localizacao-lindo-mesmo-1049478409,R$ 0,R$ 29.999,R$ 0,
CASA BELLA IMÓVEIS,67m²,,,Setor de Chácaras Anhangüera B,1,Valparaíso de Goiás,1049492434,,2022-06-25,,Quadra 24,1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/oportunidade-excelente-sobrado-proximo-ao-colegio-militar-fernando-pessoa-1049492434,R$ 0,R$ 138.000,R$ 0,
Cris Santos,47m²,,,Parque Esplanada II,1,Valparaíso de Goiás,1032473330,,2022-06-25,,"Rua 8 (Quadras 33,34,37,38)",2,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/apartamento-bello-solare-terreo-2-vagas-de-garagem-terreo-area-verde-com-churrasqueira-1032473330,R$ 194,R$ 159.000,R$ 250,
Marihadonai,56m²,,,Jardim Flamboyant,1,Luziânia,1049519870,,2022-06-25,,Rua Araguaia,1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/agio-casa-terreo-cond-gran-acropolis-1049519870,,R$ 19.500,R$ 0,
Gabriel de Morais Nunes,45m²,,,Parque Esplanada II,1,Valparaíso de Goiás,1049524333,,2022-06-25,,"Rua 8 (Quadras 33,34,37,38)",,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/agio-belle-stella-valparaiso-2-quartos-garagem-lazer-parque-esplanada-1049524333,R$ 0,R$ 35.000,R$ 0,
Gabriel de Morais Nunes,60m²,,,Chácaras Anhangüera,1,Valparaíso de Goiás,1049524511,,2022-06-25,,"Rua Alagoas (Quadras 08,22,23,26)",1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/agio-apartamento-2-quartos-vaga-de-garagem-espacoso-valparaiso-go-1049524511,R$ 62,R$ 30.000,R$ 0,
ANA PAULA GOMES,,,,Parque das Cachoeiras,2,Valparaíso de Goiás,1049535125,,2022-06-25,,Condomínio Residencial 10 Bloco B,1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/vendo-ou-agio-apartamento-lindo-1049535125,,,,
Nalda,,,,Ypiranga,1,Valparaíso de Goiás,1049557719,,2022-06-25,,Quadra 1,1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/vende-se-apartamento-terrio-em-condominio-1049557719,,,,
Gabriel de Morais Nunes,125m²,,,Alphaville Brasília,4,Cidade Ocidental,1049559869,,2022-06-25,,Alphaville Residencial 2 Quadra T,2,,4,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/via-horizonte-4-quartos-suite-2-vaga-garagem-varanda-alphaville-1049559869,R$ 354,R$ 748.000,R$ 856,
eliezio,10m²,,,Parque Esplanada I,1,Valparaíso de Goiás,1049567962,,2022-06-25,,"Rua D (Quadras C,D,G,H)",1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/apartamento-cidade-jardim-valparaiso-1049567962,R$ 0,R$ 95.000,R$ 0,
Confira outras opções em meu site Gabi Silva Imóveis,64m²,,,Ypiranga,1,Valparaíso de Goiás,1048640029,,2022-06-23,,Rua Ypiranga,1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/e-agora-casa-ou-ape-ate-zero-de-entrada-pronto-para-morar-valparaiso-1-1048640029,R$ 0,R$ 140.000,R$ 0,
CASA BELLA IMÓVEIS,56m²,,,Setor de Chácaras Anhangüera B,1,Valparaíso de Goiás,1032549561,,2022-06-23,,Quadra 24,1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/pronto-p-morar-excelentes-aptos-com-piscina-e-area-de-lazer-em-valparaiso-ate-100-finc-1032549561,R$ 0,R$ 138.000,R$ 0,
juniosantos1010,,,,Vila Isabel,1,Valparaíso de Goiás,1048646484,,2022-06-23,,Rua 25,2,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/agio-no-valparaiso-vendo-14-500-1048646484,,R$ 14.500,,
Silvânia N.,54m²,,,Centro,1,Cidade Ocidental,1048675347,,2022-06-23,,SQ 11 Quadra 2,1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/agio-apartamento-ocidental-1048675347,R$ 0,R$ 38.000,R$ 0,
DMC Imóveis,47m²,,,Setor de Chácaras Anhangüera A,1,Valparaíso de Goiás,1048699292,,2022-06-23,,Quadra 5,1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/vendo-apartamento-de-2-quartos-no-melhor-condominio-de-valparaiso-1048699292,,R$ 15.000,,
CASA BELLA IMÓVEIS,50m²,,,Parque Esplanada II,2,Valparaíso de Goiás,1017747719,,2022-06-23,,"Rua 8 (Quadras 31,32,35,36)",1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/excelente-vd-agio-de-apto-de-2-qtos-com-suite-e-cozinha-toda-planejada-1017747719,R$ 0,R$ 45.000,R$ 0,
Nery do Brazil Nery do Brazil,55m²,,,Jardim Céu Azul,2,Valparaíso de Goiás,1021716826,,2022-06-23,,"Rua 18 (Quadras 14,17,21,22,24,26 a 29)",1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/brazil-imobiliaria-vende-apartamento-02-quartos-em-condominio-fechado-no-valparaiso-1021716826,R$ 0,R$ 120.000,R$ 0,
Atalaia Empreendimentos Imobiliários,46m²,,,Parque Esplanada II,2,Valparaíso de Goiás,1048760969,,2022-06-23,,"Rua 8 (Quadras 31,32,35,36)",1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/apartamento-a-venda-condominio-belle-luna-2-quartos-valparaiso-de-goias-1048760969,R$ 0,R$ 125.000,R$ 0,
Gabriela Paixão,47m²,,,Parque Esplanada II,1,Valparaíso de Goiás,1048759825,,2022-06-23,,"Rua 8 (Quadras 33,34,37,38)",1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/apt-2q-bello-mare-valparaiso-agio-57-mil-1048759825,R$ 220,R$ 57.000,,
Marcos Santos,,,,Mansões Recreio Mossoró,1,Cidade Ocidental,1048765292,,2022-06-23,,Quadra 4,1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/agio-de-apartamento-1048765292,R$ 130,R$ 12.000,,
Eloise ,,,,Pacaembu,1,Valparaíso de Goiás,1048783215,,2022-06-23,,"Rua 19 (Quadras 54,54A,55)",1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/agio-de-apartamento-1048783215,R$ 196,R$ 18.000,,
euripedesilvaimoveisdf,57m²,,,Morada Nobre,2,Valparaíso de Goiás,1048788595,,2022-06-23,,"Rua 14 (Quadras 50,51,52)",1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/empreendimento-mandarim-1048788595,,,,
udenis81,50m²,,,Parque da Barragem Setor 05,1,Águas Lindas de Goiás,1048827841,,2022-06-23,,Quadra 9 Conjunto A,1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/agil-de-apartamento-setor-9-1048827841,,R$ 26.000,,
Consultora,0m²,,,Residencial Cidade Nova,0,Novo Gama,971705120,,2022-06-23,,Quadra 11,0,,0,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/dj-apartamento-a-venda-em-novo-gama-971705120,,R$ 0,,
imobiliaria,,,,Chácaras Quedas do Descoberto,1,Águas Lindas de Goiás,1048845873,,2022-06-23,,Quadra 31,1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/nao-perca-essa-oportunidade-vendo-agio-de-apt-novo-2-andar-1048845873,R$ 60,R$ 18.000,R$ 190,
vandoejadee,51m²,,,Parque Nova Friburgo B,1,Cidade Ocidental,1048866202,,2022-06-23,,Quadra 33,1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/agio-de-apartamento-1048866202,R$ 0,R$ 25.000,,
NEGÓCIOS-DF,0m²,,,Valparaiso I - Etapa D,1,Valparaíso de Goiás,1023428312,,2022-06-22,,Quadra 10,0,,1,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/t-r-o-c-o-tudo-aqui-por-agio-de-casa-apt-terreo-ou-fiat-uno-1023428312,,R$ 16.000,,
NEGÓCIOS-DF,41m²,,,Valparaiso I - Etapa A,2,Valparaíso De Goiás,836629620,,2022-06-22,,,0,,3,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/t-r-o-c-o--tudo-aqui-por-a-g-i-o-de-c-a-s-a-apt-terreo-ou-f-i-a-t-uno-836629620,,R$ 17.000,,
FCA IMOBILIÁRIA,56m²,,,Chácaras Coimbra,1,Águas Lindas de Goiás,1048172819,,2022-06-22,,Quadra I,,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/imperdivel-venha-conhecer-os-diferenciais-compra-deste-imovel-aguas-lindas-de-goias-go-1048172819,R$ 0,R$ 56.664,R$ 0,
sidneyjulio56,,,,Mansões Village,1,Águas Lindas de Goiás,1048186050,,2022-06-22,,Quadra 13,1,,3,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/vendo-agio-apartamento-03-quarto-1048186050,,R$ 35.000,R$ 243,
demirnasc14,51m²,,,Centro,1,Cidade Ocidental,1048207701,,2022-06-22,,SQ 4,1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/troco-por-carro-ou-caminhao-no-valor-de-70-mil-acima-1048207701,R$ 0,R$ 120.000,R$ 164,
